Artist Name,Popularity,danceability,energy,key,mode,acousticness,instrumentalness,liveness,valence,tempo,Class
Jatin Pandit,30,0.333,0.424,9,1,0.767,2.84E-06,0.414,0.579,183.647,3
Liam Gallagher,58,0.489,0.835,,1,0.00746,,0.146,0.444,145.885,10
Eddie Burns,5,0.694,0.216,1,1,0.0126,0.0791,0.29,0.545,171.27,2
The Struts,57,0.537,0.92,10,0,0.00592,,0.34,0.843,185.703,10
Hit The Lights,48,0.475,0.956,1,1,0.000205,,0.319,0.664,91.413,10
Foals,49,0.552,0.779,,1,0.0419,0.000222,0.364,0.541,100.28,1
The Amazons,39,0.611,0.778,10,0,0.00118,8.60E-05,0.114,0.339,114.893,10
Kurt Vile,63,0.566,0.663,8,1,0.0945,0.294,0.0915,0.762,91.108,10
Santana,30,0.442,0.664,11,0,0.0196,0.377,0.726,0.405,125.021,10
Hatena,43,0.407,0.741,2,1,0.0161,0.553,0.123,0.138,110.036,6
Led Zeppelin,52,0.367,0.779,9,1,0.00574,0.00708,0.288,0.794,90.354,1
B√òRNS,84,0.611,0.797,6,0,0.00543,0.00137,0.26,0.518,120.041,6
Coco Montoya,15,0.608,0.822,7,1,0.0757,0.0588,0.318,0.51,136.974,2
Seoulmoon,16,0.868,0.462,2,1,0.582,0.000391,0.0875,0.795,99.978,10
Anthrax,50,0.474,0.978,11,1,0.00309,,0.421,0.0722,111.217,8
Van Halen,79,0.572,0.835,,1,0.171,0.000377,0.0702,0.795,129.981,10
Morgan Wade,55,0.502,0.662,9,1,0.00322,0.00274,0.119,0.4,110.917,1
Strange Bones,43,0.461,0.872,,1,0.000315,0.00267,0.136,0.493,111.088,1
Bring Me The Horizon,56,0.51,0.789,2,1,0.00799,0.674,0.838,0.13,155.971,10
Betcha,55,0.607,0.658,6,0,0.0103,0.0224,0.0537,0.567,99.983,1
Divine ScienZe,34,0.598,0.775,10,0,0.0666,,0.169,0.706,117.761,5
Black Paisley,31,0.56,0.801,2,0,0.000307,,0.215,0.691,131.953,8
Kings of Leon,55,0.334,0.875,4,0,0.000153,0.000494,0.413,0.322,169.426,10
Seafret,51,0.526,0.447,7,0,0.772,,0.046,0.336,78.699,9
Ciara,61,0.709,0.96,8,1,0.00157,7.82E-05,0.893,0.665,133.037,9
Memoremains,43,0.534,0.95,3,0,1.97E-05,5.35E-05,0.0599,0.633,145.015,8
Stevie Wonder,72,0.611,0.578,1,1,0.0598,0.0219,0.0983,0.884,100.625,10
Gary Clark Jr.,45,0.615,0.416,,0,0.334,0.011,0.0913,0.284,83.98,2
Benny Atlas,37,0.729,0.676,6,0,0.279,,0.673,0.722,121.986,1
KALEO,66,0.748,0.704,5,0,0.0741,,0.088,0.823,110.028,2
Patti Smith,20,0.779,0.291,4,1,0.259,3.26E-06,0.0485,0.419,123.09,10
King Von,72,0.831,0.62,6,0,0.0582,,0.119,0.568,133.17,5
The Revel,34,0.521,0.948,1,1,0.00655,2.73E-06,0.195,0.686,137.947,10
Hadag Nahash,31,0.69,0.815,6,1,0.00242,3.37E-05,0.0844,0.62,128.903,5
Enslaved,35,0.0981,0.882,1,1,0.0001,0.124,0.141,0.162,180.135,8
Shannon McNally,37,0.627,0.854,,1,0.223,0.000345,0.178,0.894,132.118,1
Atreyu,61,0.481,0.944,8,1,0.00926,0.000328,0.278,0.396,165.02,10
Jefferson Airplane,25,0.253,0.82,9,1,0.0383,0.075,0.107,0.535,162.103,10
blink-182,39,0.508,0.875,9,0,0.00275,,0.319,0.14,160.039,10
Robert Johnson,53,0.675,0.311,9,1,0.93,0.000261,0.102,0.638,97.159,2
Def Leppard,65,0.59,0.743,,0,0.067,0.00093,0.0847,0.412,129.79,10
Poison The Well,42,0.367,0.811,9,0,1.29E-05,,0.287,0.259,117.065,8
Briston Maroney,46,0.565,0.545,7,1,0.0289,3.40E-06,0.161,0.592,79.988,6
The Blues Band,35,0.668,0.796,2,1,0.352,9.09E-06,0.278,0.823,132.258,2
Hatfield & The North,25,0.333,0.48,7,1,0.0107,0.451,0.276,0.341,145.921,10
Sanjeev T,13,0.481,0.572,2,1,0.0168,0.731,0.164,0.136,170.007,6
Allison Russell,42,0.585,0.404,2,1,0.458,6.42E-06,0.121,0.43,125.267,1
Anuradha Paudwal,35,0.508,0.702,,1,0.823,0.00501,0.55,0.695,150.973,3
Yougaslava,26,0.44,0.847,7,1,0.00019,0.895,0.106,0.248,122.02,6
Jucee Froot,54,0.814,0.679,2,1,0.195,,0.375,0.397,141.956,5
Dudu Aharon,29,0.753,0.79,,0,0.385,,0.0868,0.644,111.948,9
Dorotheo,35,0.516,0.902,7,1,0.264,0.909,0.112,0.0841,136.071,10
Smash Into Pieces,46,0.638,0.76,1,0,0.0793,,0.438,0.786,110.047,9
Black Sabbath,53,0.307,0.024,7,0,0.831,0.758,0.12,0.524,109.732,8
Westlife,,0.664,0.942,2,1,0.212,0.000356,0.177,0.351,111.989,9
Nukumachi,24,0.472,0.698,4,0,0.0136,0.817,0.134,0.472,128.053,6
Bartholomew Kind,30,0.539,0.893,11,0,0.0609,0.0535,0.114,0.244,170.009,6
Kobra And The Lotus,35,0.415,0.958,8,1,2.29E-05,0.169,0.157,0.337,175.097,8
Lita Ford,62,0.476,0.331,5,1,0.31,2.82E-06,0.172,0.24,130.574,10
SOB X RBE,67,0.856,0.652,1,1,0.177,,0.193,0.471,97.017,5
Chiiild,57,0.741,0.598,5,0,0.146,0.116,0.321,0.629,91.99,10
Yo Triceratop,21,0.491,0.752,4,0,0.00163,0.808,0.152,0.383,150.008,10
Aviv Guedj,16,0.259,0.906,2,0,0.00786,,0.171,0.323,151.633,6
Armand Hammer,49,0.438,0.687,9,0,0.0594,,0.145,0.413,77.307,5
"Brantley Gilbert, T.I.",60,0.559,0.754,7,1,0.0153,,0.355,0.303,169.977,4
Elton John,79,0.414,0.428,,1,0.382,0.000243,0.148,0.282,145.075,10
Fickle Friends,46,0.603,0.674,6,1,0.139,3.41E-06,0.116,0.732,93.004,9
Gal Adam,40,0.562,0.456,,0,0.558,,0.099,0.388,133.14,9
Red Fang,50,0.199,0.918,11,1,2.89E-06,0.27,0.187,0.334,151.399,8
Patrick Swayze,64,0.586,0.331,4,0,0.256,1.67E-05,0.18,0.223,124.915,10
carolesdaughter,47,0.768,0.215,3,1,0.907,1.13E-05,0.117,0.219,131.167,9
Corinne Bailey Rae,78,0.739,0.511,9,1,0.167,1.34E-06,0.133,0.542,96.038,9
lentra,55,0.829,0.631,1,1,0.875,0.0123,0.109,0.792,106.863,9
Maximo Park,57,0.378,0.953,9,1,0.000719,2.89E-05,0.0936,0.512,167.808,1
Creed,,0.457,0.817,2,1,5.23E-05,0.000204,0.159,0.444,155.84,9
Hanan Ben Ari,35,0.317,0.4,7,0,0.693,,0.116,0.394,180.352,9
Joey Ramone,54,0.422,0.878,5,1,0.00935,0.332,0.201,0.496,84.044,10
Stone Temple Pilots,67,0.643,0.364,5,0,0.715,,0.659,0.283,133.377,10
Benny The Butcher,47,0.52,0.848,,0,0.0232,,0.0532,0.218,118.528,5
Fiona Boyes,37,0.769,0.716,7,1,0.169,0.00158,0.349,0.943,128.724,2
100 gecs,70,0.68,0.659,6,1,0.229,,0.474,0.75,98.877,9
Five Finger Death Punch,62,0.334,0.933,4,1,0.00732,,0.264,0.18,132.812,10
King Buffalo,42,0.39,0.799,,0,0.00792,0.779,0.135,0.16,127.221,10
illuminati hotties,35,0.431,0.782,1,1,0.00495,0.000259,0.131,0.384,160.872,6
Ethan P. Flynn,31,0.398,0.707,6,1,0.0813,0.0356,0.165,0.074,74.915,6
That's Life Honey,37,0.687,0.297,8,1,0.527,0.203,0.137,0.6,77.096,0
Creedence Clearwater Revival,68,0.702,0.772,9,1,0.0312,0.00837,0.0809,0.973,141.694,10
Windy & Carl,34,0.0862,0.222,9,1,0.893,0.795,0.11,0.109,202.983,10
Sasha,27,0.704,0.663,9,0,0.0395,0.868,0.0871,0.318,123.994,1
Preservation Hall Jazz Band,34,0.623,0.888,5,0,0.343,,0.34,0.687,107.962,10
"Merle Haggard, Willie Nelson",60,0.693,0.454,2,1,0.796,0.000154,0.143,0.54,122.641,4
Accept,61,0.544,0.739,9,1,0.00392,0.000143,0.168,0.328,118.287,8
Witch Prophet,28,0.595,0.424,11,0,0.77,0.85,0.124,0.0911,113.305,1
CueStack,37,0.472,0.953,2,0,0.000594,0.0221,0.279,0.224,80.007,8
Fallstar,38,0.32,0.887,6,1,6.64E-05,4.94E-06,0.348,0.431,175.088,10
my bloody valentine,40,0.382,0.909,6,1,0.000109,0.107,0.172,0.446,88.642,10
Molly Parden,41,0.602,0.506,2,1,0.687,0.0263,0.177,0.312,126.962,0
The Presidents Of The United States Of America,68,0.499,0.873,6,1,0.00468,,0.165,0.864,142.726,1
Andy Bell,32,0.372,0.948,5,1,0.00982,0.147,0.156,0.857,160.013,10
Eric Clapton,37,0.565,0.542,9,1,0.53,0.00129,0.0694,0.794,103.966,10
Avenged Sevenfold,55,0.448,0.661,6,1,0.000415,6.42E-05,0.0499,0.213,139.983,8
Joyous Wolf,45,0.475,0.824,4,0,3.43E-05,7.23E-05,0.0932,0.658,138.073,10
Dudu Aharon,18,0.817,0.79,1,0,0.221,,0.293,0.821,106.993,9
Bolt Thrower,46,0.402,0.86,8,1,1.43E-06,0.895,0.103,0.427,108.118,8
Lightnin' Hopkins,47,0.596,0.545,11,0,0.456,5.53E-05,0.329,0.718,146.953,2
Zack Cokas,42,0.95,0.449,10,1,0.184,,0.148,0.516,124.004,5
Aviva Avidan,32,0.446,0.263,5,0,0.717,3.70E-05,0.15,0.173,97.877,9
Morphine,54,0.576,0.494,10,0,0.106,0.174,0.13,0.587,96.478,6
Remy Ma,41,0.684,0.864,1,0,0.0668,,0.358,0.657,100.624,5
Ozzy Osbourne,59,0.428,0.599,4,1,0.0665,9.86E-06,0.137,0.134,125.83,8
V. Cartier,,0.657,0.415,9,0,0.299,1.43E-05,0.102,0.559,78.012,1
Freedom,,0.355,0.406,8,1,0.78,6.29E-05,0.113,0.145,145.197,0
Junior Kimbrough,36,0.672,0.534,4,1,0.699,0.325,0.107,0.746,149.772,2
Bonnie Tyler,29,0.486,0.875,,1,0.092,,0.758,0.509,117.797,9
Testament,34,0.349,0.816,6,1,0.000162,0.0312,0.118,0.512,106.247,8
Barbi Recanati,38,0.325,0.554,,1,0.805,0.00928,0.102,0.106,111.105,6
Super Slam Bros.,25,0.391,0.851,7,1,0.00403,0.794,0.212,0.0645,139.843,8
Noga Erez,59,0.899,0.557,7,1,0.0786,,0.0777,0.464,99.975,9
The Hot Sardines,43,0.454,0.084,,1,0.885,0.936,0.0958,0.0828,87.816,7
Nelly Furtado,79,0.796,0.777,6,1,0.0261,0.000358,0.121,0.787,132.722,9
Marked As An Enemy,31,0.242,0.972,9,0,3.61E-05,3.05E-05,0.256,0.085,99.94,8
Sonny Boy Williamson II,37,0.582,0.548,,1,0.778,0.00106,0.186,0.705,97.887,2
Marc Holland,47,0.5,0.087,7,1,0.984,0.954,0.111,0.329,128.614,7
"Amitabh Bachchan, Kishore Kumar",19,0.563,0.485,7,1,0.938,2.10E-05,0.603,0.699,125.952,3
Dudu Tassa,34,0.59,0.509,11,0,0.26,,0.0932,0.383,79.981,10
HAIM,38,0.584,0.793,9,0,0.134,3.88E-06,0.0532,0.512,92.028,10
Bag Raiders,70,0.636,0.72,11,1,0.0893,0.0178,0.0868,0.425,124.944,6
The Virgins,46,0.753,0.869,10,0,0.00164,6.21E-06,0.155,0.703,109.563,9
Big Thief,59,0.688,0.737,6,0,0.0769,0.641,0.114,0.666,131.042,1
Bob Dylan,70,0.38,0.0993,2,1,0.914,2.32E-05,0.0605,0.44,174.874,10
They Fell From The Sky,37,0.465,0.942,5,1,5.17E-05,0.0184,0.155,0.335,124.096,10
Opeth,35,0.334,0.829,,1,5.76E-05,0.145,0.0883,0.437,130.154,8
Gama Bomb,24,0.42,0.968,4,0,0.00162,0.0718,0.147,0.227,199.772,8
Royal & the Serpent,,0.584,0.804,7,1,0.000968,0.635,0.284,0.635,159.953,1
The Starting Line,30,0.563,0.854,4,1,0.000296,0.025,0.287,0.929,127.029,10
Ballyhoo!,49,0.716,0.782,5,0,0.149,,0.366,0.911,77.022,10
Alan Braufman,47,0.287,0.816,8,1,0.473,0.927,0.452,0.56,137.458,7
Travis Porter,51,0.928,0.631,1,1,0.00943,,0.085,0.439,94.035,5
James Bay,3,0.693,0.843,,1,0.0242,5.01E-05,0.0743,0.533,115.924,10
Exlibris,35,0.262,0.779,7,0,1.36E-05,8.43E-06,0.305,0.164,170.032,8
Jill Barber,28,0.599,0.295,9,1,0.849,0.000297,0.32,0.282,99.767,2
Poison The Well,42,0.367,0.811,9,0,1.29E-05,,0.287,0.259,117.065,10
Peled,22,0.688,0.728,1,1,0.108,2.61E-06,0.108,0.457,144.951,5
John Coltrane,41,0.475,0.541,5,0,0.466,1.24E-05,0.319,0.596,131.121,2
The Who,77,0.489,0.724,5,1,0.313,0.185,0.287,0.15,117.292,10
Outkast,80,0.727,0.974,4,0,0.103,0.000532,0.174,0.965,79.526,9
Kenny Rogers,74,0.671,0.501,4,1,0.342,,0.194,0.86,87.04,4
"Tyler, The Creator",76,0.596,0.575,11,0,0.0861,0.000153,0.334,0.34,98.265,6
Samm Henshaw,37,0.495,0.602,9,1,0.08,,0.347,0.298,69.888,2
Wes Montgomery,40,0.575,0.283,5,0,0.961,0.204,0.104,0.659,152.929,2
Boys Life,25,0.3,0.627,4,0,0.00132,0.0166,0.62,0.214,87.317,10
Type O Negative,47,0.454,0.82,4,0,0.0822,0.848,0.222,0.355,90.551,10
Wishbone Ash,40,0.307,0.779,2,1,0.023,0.00376,0.0791,0.0626,144.099,10
In the Kingdom of Dreams,21,0.477,0.575,11,1,0.193,0.00153,0.341,0.106,118.533,0
Rise Against,42,0.254,0.377,1,0,0.677,2.56E-06,0.135,0.177,60.449,10
WC,28,0.672,0.878,5,1,0.0179,0.000312,0.35,0.914,122.015,10
Yishay Swissa,30,0.481,0.728,11,0,0.0454,,0.237,0.389,86.004,5
Everything I had,42,0.75,0.343,9,1,0.612,0.436,0.0893,0.198,104,0
Trick Daddy,42,0.934,0.759,6,0,0.0102,,0.0818,0.927,123.857,5
Ava Max,82,0.72,0.706,1,1,0.0684,,0.166,0.62,133.002,9
Pop Smoke,87,0.823,0.586,6,0,0.114,,0.193,0.347,125.971,9
Nelly Furtado,39,0.692,0.249,10,0,0.904,9.16E-06,0.233,0.309,103.182,0
Shalom Hanoch,25,0.582,0.734,,1,0.0674,9.06E-06,0.0529,0.461,90.371,10
"Mahesh Raghvan, Pragathi Guruprasad, Shravan Sridhar",26,0.359,0.637,4,1,0.385,6.62E-06,0.121,0.141,139.07,0
Psychedelic Porn Crumpets,49,0.396,0.905,5,0,2.92E-05,0.365,0.318,0.254,140.052,1
Black Honey,40,0.594,0.851,7,1,0.00881,8.26E-06,0.0749,0.898,83.522,10
Project Vela,40,0.512,0.849,4,1,0.00701,0.000406,0.0975,0.329,137.969,8
Our Last Night,67,0.515,0.949,1,0,0.000103,1.22E-05,0.348,0.308,124.069,10
YoungBoy Never Broke Again,67,0.604,0.511,4,0,0.071,,0.129,0.139,100.338,5
The Pretty Reckless,36,0.646,0.744,11,0,0.0327,0.000343,0.0861,0.795,97.002,10
Warfect,11,0.301,0.923,8,1,0.000225,0.29,0.183,0.297,144.721,8
Dan Sistos,40,0.667,0.17,5,1,0.926,0.927,0.113,0.389,133.94,7
Charlie Houston,37,0.87,0.41,8,1,0.243,2.92E-05,0.127,0.576,83.974,6
The One Hundred,42,0.496,0.896,1,1,0.00024,4.83E-06,0.161,0.343,179.936,8
Pale Saints,25,0.0876,0.839,4,1,3.36E-05,0.89,0.258,0.622,169.136,10
AJ Tracey,72,0.867,0.648,3,0,0.265,2.62E-06,0.217,0.527,108.005,9
Tepr,27,0.566,0.873,,0,0.000371,0.932,0.079,0.527,121.946,1
Geeta Dutt,,0.746,0.724,11,1,0.904,5.07E-06,0.165,0.702,103.804,3
Darius Rucker,56,0.578,0.752,9,1,0.0275,,0.125,0.405,149.689,4
TOTO,72,0.365,0.513,7,0,0.0208,0.000147,0.205,0.739,80.647,10
Thomas Rhett,60,0.536,0.496,7,1,0.314,,0.11,0.497,175.007,4
Koralle,42,0.697,0.383,8,1,0.0937,,0.113,0.51,86.84,5
Eric B. & Rakim,39,0.817,0.694,4,0,0.00161,0.0597,0.333,0.328,98.16,5
Lightning Bug,33,0.413,0.44,4,1,0.0663,0.0565,0.126,0.271,140.482,6
Boston Manor,53,0.421,0.823,9,0,0.00078,3.21E-05,0.204,0.155,104.973,10
David Lee Roth,52,0.583,0.692,2,0,0.0026,,0.125,0.795,137.572,10
Calm Canopy,27,0.456,0.367,6,1,0.792,4.95E-05,0.318,0.467,77.066,10
Westlife,36,0.613,0.787,4,1,0.0361,,0.108,0.362,135.989,9
Franz Ferdinand,62,0.412,0.944,,1,0.0724,0.000493,0.801,0.79,123.091,6
◊ê◊ë◊ô◊ë ◊û◊ê◊®◊ß ◊ï◊î◊§◊ô◊ú◊î◊®◊û◊ï◊†◊ô◊™,5,0.55,0.668,2,1,0.000604,0.0349,0.0726,0.489,93.132,6
Lukach,15,0.798,0.656,10,0,0.0413,,0.274,0.697,137.039,5
half‚Ä¢alive,65,0.677,0.66,2,1,0.00779,0.021,0.0941,0.611,153.982,9
The Wannadies,27,0.342,0.888,7,1,0.00116,1.18E-05,0.214,0.287,159.118,1
Last Train,34,0.41,0.718,7,1,0.00569,0.000995,0.167,0.412,111.504,10
Eyal Golan,46,0.7,0.378,9,1,0.77,2.83E-06,0.137,0.358,131.864,9
Kumar Sanu,49,0.553,0.729,,1,0.789,,0.0586,0.749,125.251,3
Suicidal Tendencies,51,0.282,0.996,9,1,0.00668,,0.0674,0.323,185.423,8
Dion,54,0.452,0.489,2,1,0.303,,0.488,0.654,159.068,10
Sacropolis,28,0.291,0.857,7,1,0.0003,0.401,0.245,0.452,118.961,10
Still Woozy,77,0.739,0.522,7,0,0.821,0.00124,0.233,0.619,138.263,6
Rachel Yaron,22,0.549,0.389,8,1,0.236,0.49,0.102,0.4,122.011,6
Omer Adam,40,0.616,0.375,,0,0.671,,0.329,0.438,130.116,9
Robin McAuley,30,0.599,0.675,7,1,0.013,0.000118,0.098,0.366,119.966,8
"Frank Bridge, Enikő Magyar, Tadashi Imai",49,0.0882,0.00626,10,1,0.99,0.92,0.0756,0.123,83.771,7
Blind Faith,34,0.32,0.545,1,1,0.586,0.00262,0.605,0.605,87.618,1
Bow Anderson,37,0.758,0.443,3,1,0.347,,0.335,0.728,79.485,9
LANKS,34,0.394,0.247,11,0,0.812,0.0259,0.112,0.125,117.113,6
Spoon,61,0.726,0.678,5,1,0.252,7.63E-06,0.149,0.529,75.031,1
Thirty Seconds To Mars,74,0.179,0.912,4,0,0.0014,0.000294,0.582,0.289,182.99,10
Rob Zombie,53,0.73,0.907,2,1,0.000111,0.00816,0.266,0.573,116.016,8
Ringo Starr,57,0.617,0.696,4,1,0.0155,0.000199,0.108,0.9,111.136,10
Sjava,45,0.705,0.511,8,1,0.392,0.00887,0.11,0.234,127.88,6
VAPERROR,41,0.648,0.988,5,0,0.00853,0.68,0.0802,0.928,94.99,6
Chevelle,46,0.428,0.9,11,1,1.64E-05,0.773,0.242,0.228,160.057,10
Professor Longhair,49,0.56,0.73,1,1,0.219,0.144,0.179,0.963,151.594,2
Brittany Howard,30,0.473,0.95,11,1,0.0115,6.92E-05,0.122,0.668,151.896,2
Christone "Kingfish" Ingram,44,0.513,0.377,7,1,0.899,0.00601,0.0943,0.424,203.236,2
Last Train,22,0.301,0.921,7,1,0.00573,0.215,0.349,0.199,169.625,10
Momma,31,0.358,0.541,2,1,0.0494,0.322,0.195,0.166,171.999,6
"Atmanam, Apoorva Krishna",25,0.274,0.834,2,0,0.56,0.688,0.384,0.079,89.483,0
Alain Levet,49,0.672,0.133,7,1,0.989,0.871,0.143,0.141,133.844,7
Eliza & The Delusionals,36,0.542,0.872,9,1,0.0495,9.81E-05,0.0823,0.311,137.976,10
girlhouse,42,0.567,0.532,2,1,0.191,0.000269,0.143,0.196,122.987,1
Coldplay,85,0.429,0.661,11,1,0.00239,0.000121,0.234,0.285,173.372,10
Lalalar,40,0.734,0.547,1,0,0.00338,0.559,0.126,0.82,119.989,6
Inglorious,42,0.489,0.945,,1,0.000242,0.00166,0.357,0.388,164.982,8
Melvin "Lil' Son" Jackson,26,0.599,0.0757,6,1,0.987,0.00555,0.105,0.641,199.428,2
Son Little,42,0.851,0.565,5,0,0.0716,0.000525,0.116,0.551,130.022,9
Chapterhouse,32,0.459,0.836,9,1,1.77E-05,0.457,0.146,0.547,101.977,6
Detroit Gary Wiggins,5,0.607,0.788,7,0,0.488,0.459,0.716,0.752,131.397,2
Gary Clark Jr.,41,0.418,0.96,,1,2.72E-05,0.17,0.295,0.444,97.326,10
Ozzy Osbourne,41,0.338,0.511,2,1,0.00397,,0.0875,0.54,156.062,10
ALESTI,40,0.161,0.973,4,0,0.00657,,0.0931,0.216,93.699,1
Widowspeak,31,0.618,0.72,2,1,0.265,0.432,0.156,0.64,120.992,6
Vance Joy,66,0.388,0.66,11,1,0.312,0.000307,0.0943,0.401,143.554,0
Lorde,13,0.594,0.721,2,1,0.0212,8.54E-06,0.0879,0.253,128.938,9
Deafheaven,35,0.194,0.946,2,0,1.72E-05,0.858,0.355,0.0534,98.626,8
Pop Evil,,0.606,0.749,2,1,0.00271,4.15E-06,0.0609,0.408,90.046,8
Little Simz,75,0.436,0.655,7,1,0.425,,0.393,0.523,139.712,9
Luke Winslow-King,35,0.632,0.575,5,1,0.105,3.59E-05,0.158,0.689,106.953,2
Yeah Yeah Yeahs,54,0.521,0.855,9,1,0.0223,5.54E-06,0.0869,0.257,158.744,10
Briston Maroney,45,0.589,0.75,4,1,0.00162,,0.262,0.43,130.097,1
Norma Jean,46,0.193,0.948,5,0,0.00749,0.00515,0.306,0.158,81.636,8
Amin√©,77,0.94,0.335,5,0,0.17,,0.262,0.707,120.04,9
MC Ingryd,61,0.862,0.561,8,1,0.596,,0.108,0.541,99.864,9
Royal Tusk,47,0.311,0.884,11,1,0.000133,0.0265,0.124,0.364,131.733,10
Posh Chocolates,42,0.663,0.676,8,1,0.515,0.0153,0.179,0.312,113.975,6
Allman Brown,45,0.532,0.392,,1,0.458,,0.104,0.449,169.962,0
DMX,64,0.647,0.98,7,1,0.0301,8.56E-05,0.045,0.399,188.309,5
Flo Milli,71,0.896,0.78,1,1,0.0828,,0.0857,0.85,106.032,9
Arrival Of Autumn,30,0.427,0.994,7,0,1.47E-05,0.077,0.153,0.254,147.969,8
Count Five,35,0.587,0.573,4,1,0.0208,0.315,0.199,0.686,137.315,6
Tamino,53,0.589,0.382,6,0,0.567,0.000203,0.0884,0.209,77.996,1
Noora Louhimo Experience,43,0.377,0.758,9,1,0.0459,0.00015,0.0858,0.0751,80.064,8
Tom Odell,86,0.445,0.537,4,0,0.695,1.65E-05,0.0944,0.131,122.769,9
LiSA,36,0.474,0.971,1,1,0.0185,1.46E-06,0.307,0.463,102.941,10
Aviv Geffen,24,0.489,0.675,2,1,0.00313,3.09E-06,0.347,0.402,100.748,10
James Hype,42,0.639,0.347,9,0,0.701,,0.0985,0.291,119.821,9
3TEETH,53,0.464,0.92,10,0,0.00143,0.114,0.343,0.266,91.04,8
Steve Perry,65,0.333,0.695,5,1,0.372,7.13E-06,0.107,0.317,203.753,10
"Kishore Kumar, Amitabh Bachchan",23,0.572,0.52,7,1,0.521,,0.51,0.62,118.433,3
Sum 41,69,0.431,0.95,7,1,0.00105,3.63E-05,0.272,0.56,191.936,10
Yehudit Ravitz,13,0.503,0.328,7,1,0.296,8.73E-06,0.132,0.354,91.981,10
Mastodon,52,0.271,0.624,7,0,0.0301,0.0032,0.0737,0.242,74.611,10
Nonpoint,51,0.538,0.975,5,0,0.000416,0.0561,0.296,0.588,100.046,10
The L.I.F.E. Project,40,0.453,0.973,2,1,2.85E-05,4.49E-06,0.367,0.519,150.029,10
Capitaine Gaza,34,0.469,0.741,1,1,0.328,3.40E-05,0.0996,0.673,114.583,9
Britney Spears,,0.657,0.645,2,0,0.00601,0.000199,0.236,0.658,91.988,9
Coat Of Arms,21,0.59,0.972,9,1,0.0018,,0.0476,0.578,146.061,8
The Blues Magoos,38,0.398,0.864,10,1,0.523,,0.0985,0.782,148.47,2
Tom The Mail Man,51,0.806,0.735,4,1,0.087,,0.0885,0.398,128.019,5
Jesse Cassettes,26,0.683,0.757,5,0,4.18E-05,0.66,0.0579,0.628,122.008,6
Arctic Monkeys,80,0.464,0.417,,0,0.136,0.022,0.0974,0.479,67.528,10
Moshe Peretz,23,0.571,0.949,,0,0.157,2.46E-06,0.133,0.87,120.03,9
Hardal,39,0.372,0.82,6,0,0.01,0.000762,0.124,0.624,152.154,10
Judas Priest,53,0.481,0.981,6,0,0.000148,0.0555,0.144,0.102,97.106,8
"I'm With Her, Paul Kowert",52,0.49,0.296,6,0,0.819,0.000979,0.691,0.498,160.824,0
Led Zeppelin,65,0.599,0.744,7,1,0.131,0.00275,0.0795,0.723,91.259,10
Train,83,0.673,0.886,1,0,0.185,,0.0826,0.795,97.012,9
Gary Numan,64,0.545,0.578,2,1,0.0114,6.57E-05,0.0692,0.819,128.038,1
Fossa Beats,40,0.71,0.461,7,0,0.694,0.714,0.103,0.119,123.016,1
Grimes,61,0.56,0.736,8,1,0.0135,0.0991,0.174,0.389,94.987,6
carolesdaughter,79,0.797,0.755,2,1,0.331,2.26E-06,0.124,0.411,129.955,10
Chevelle,70,0.509,0.843,1,0,0.000671,0.000803,0.348,0.332,140.055,10
Incredible String Band,17,0.534,0.292,2,1,0.643,0.000233,0.702,0.472,142.948,10
Michael Wollny,22,0.372,0.0853,,0,0.992,0.942,0.103,0.259,76.201,6
Black Flag,56,0.374,0.816,2,1,0.119,8.01E-06,0.0808,0.138,104.56,10
R.E.M.,37,0.301,0.347,7,1,0.0869,,0.218,0.681,153.408,10
Rendezvous Point,28,0.359,0.847,9,1,0.000277,9.01E-06,0.231,0.1,135.465,8
The Verve,64,0.442,0.52,,1,0.184,,0.154,0.177,77.437,6
Myles Kennedy,43,0.457,0.932,4,0,0.00193,0.000146,0.337,0.327,110.013,10
Bully,44,0.341,0.875,9,1,2.32E-05,0.126,0.135,0.477,78.948,6
Baby Queen,49,0.568,0.904,6,0,0.00167,2.55E-06,0.11,0.487,169.935,9
DOWN,,0.448,0.942,6,0,0.000889,0.146,0.28,0.346,98.073,8
–§–∏—Ä–º–∞-–æ–¥–Ω–æ–¥–Ω–µ–≤–∫–∞,28,0.594,0.806,9,1,0.000986,0.000774,0.0934,0.583,82.486,6
Cocteau Twins,63,0.202,0.804,7,1,6.97E-05,0.00775,0.081,0.418,179.911,6
Iceage,35,0.258,0.852,6,1,0.000697,2.99E-05,0.182,0.489,112.116,1
AC/DC,55,0.531,0.864,7,1,0.00164,0.132,0.884,0.665,130.722,10
Iron Maiden,39,0.224,0.956,4,0,0.0598,2.65E-05,0.152,0.394,154.166,8
Lost & Lonesome,13,0.363,0.249,1,1,0.926,0.000119,0.107,0.24,86.741,0
HaClique,5,0.454,0.948,4,1,0.0113,3.05E-06,0.116,0.716,108.161,6
Juice WRLD,79,0.613,0.631,4,1,0.0663,,0.169,0.33,149.992,5
Pattie,20,0.651,0.625,,1,0.0175,5.31E-05,0.188,0.427,116.019,10
Aviv Geffen,24,0.407,0.268,11,0,0.806,4.01E-05,0.101,0.137,125.444,10
Alice Longyu Gao,48,0.706,0.656,9,0,0.034,0.000167,0.163,0.82,165.639,6
